rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
110	C11H12N2O2S	[M + H]+	C11H12N2O2S	0.9999999999999999	71.88608290329758	71.88608290329758	0.0	35	0.8412460657540477	-5.4889552959805625	5.4889552959805625	1.1596764217775413		237.06950	235.8	1009_1_Brassimet_Roots_Neg-POS_PAXs_6_p14
111	C11H12O3	[M + H]+	C11H12O3	0.9999999999999999	71.31790301529753	71.31790301529753	0.0	19	0.8673745575681868	-4.130254657763123	4.130254657763123	0.41071807122994247		193.08600	148.544	734_1_Brassimet_Roots_Neg-POS_PAXs_21_p599
112	C23H47N7O5	[M + H]+	C23H47N7O5	0.9999999999999999	71.16670252468097	71.16670252468097	0.0	37	0.7178608159067535	-0.7399550242003486	2.695686563172623	5.485842137596894		502.37390	1340.475	561_1_Brassimet_Roots_Neg-POS_PAXs_19_p1779
113	C20H18N2O2	[M + H]+	C20H18N2O2	0.9999999999999999	70.87276742949287	70.87276742949287	0.0	39	0.8653142667110079	-0.32356039998029246	2.3623173276056475	1.2399772186700628		319.14450	586.669	389_1_Brassimet_Roots_Neg-POS_PAXs_15_p1079
114	C18H35NO4	[M + H]+	C18H35NO4	0.9999999999999999	70.36236106911315	70.36236106911315	0.0	29	0.767231638418079	-1.6924941442045243	2.0696815582978205	-0.2575277417108654		330.26380	978.771	540_1_Brassimet_Roots_Neg-POS_PAXs_18_p2377
115	C10H9NO2	[M + H]+	C10H9NO2	0.9999999999999999	70.07012735493166	70.07012735493166	0.0	24	0.8542647335718317	-6.308909923307699	6.5360387260319275	-0.5962389527285743		176.07050	102.853	404_1_Brassimet_Roots_Neg-POS_PAXs_16_p2273
116	C10H15N7O6	[M + H]+	C10H15N7O6	0.9999999999999999	69.82838788665971	69.82838788665971	0.0	34	0.7096392667060911	-2.3488774347772687	6.422017278947529	1.3399767825343436		330.11610	104.429	427_1_Brassimet_Roots_Neg-POS_PAXs_16_p824
117	C20H18O4	[M + H]+	C20H18O4	0.9999999999999999	69.06872823087775	69.06872823087775	0.0	34	0.807739764441952	-1.2017936535433416	1.7843034806324336	0.6637985858428359		323.12800	951.575	535_1_Brassimet_Roots_Neg-POS_PAXs_18_p1556
118	C44H86NO8P	[M + H]+	C44H86NO8P	0.9999999999999999	68.64509880166943	68.64509880166943	0.0	33	0.6771037181996091	-3.1874236792991364	5.1042246889844725	-8.346071898430909	PC 36:1	788.60980	1467.257	592_1_Brassimet_Roots_Neg-POS_PAXs_19_p843
119	C16H23NO5	[M + H]+	C16H23NO5	0.9999999999999999	67.98690436152373	67.98690436152373	0.0	31	0.8448675216089487	-2.7982188994470993	2.95031828185545	0.6471131326044178		310.16510	223.008	984_1_Brassimet_Roots_Neg-POS_PAXs_5_p2399
120	C12H12N2O5	[M + H]+	C12H12N2O5	0.9999999999999999	67.39111172127187	67.39111172127187	0.0	43	0.8636104319478403	-4.642505268772921	6.581694750293785	3.0257120116674416		265.08270	176.612	778_1_Brassimet_Roots_Neg-POS_PAXs_22_p1034
